planner,strategy,fail_prob,seed,grid_size,success,steps,replans,planning_time_total,planning_time_avg,wallclock_time
HTN,lookahead,0.05,13,5,True,15,1,0.0008709430694580078,0.0008709430694580078,0.0011
HTN,lookahead,0.05,14,5,True,16,1,0.0009109973907470703,0.0009109973907470703,0.0013
HTN,lookahead,0.05,15,5,True,17,3,0.0023560523986816406,0.0007853507995605469,0.0027
HTN,lookahead,0.05,16,5,True,16,2,0.0013768672943115234,0.0006884336471557617,0.0017
HTN,lookahead,0.05,17,5,True,12,2,0.0009946823120117188,0.0004973411560058594,0.0013
HTN,lookahead,0.05,18,5,True,13,1,0.0007638931274414062,0.0007638931274414062,0.0011
HTN,lookahead,0.05,19,5,True,8,1,0.0005049705505371094,0.0005049705505371094,0.0009
HTN,lookahead,0.05,20,5,True,15,1,0.0010027885437011719,0.0010027885437011719,0.0013
HTN,lookahead,0.05,21,5,True,14,2,0.0010418891906738281,0.0005209445953369141,0.0013
HTN,lookahead,0.05,22,5,True,14,2,0.001985788345336914,0.000992894172668457,0.0026
HTN,lookahead,0.05,23,5,True,16,2,0.0011970996856689453,0.0005985498428344727,0.0016
HTN,lookahead,0.05,24,5,True,12,1,0.0009148120880126953,0.0009148120880126953,0.0014
HTN,lookahead,0.05,25,5,True,19,2,0.002038240432739258,0.001019120216369629,0.0024
HTN,lookahead,0.05,26,5,True,15,2,0.0014450550079345703,0.0007225275039672852,0.0017
HTN,lookahead,0.05,27,5,True,12,1,0.0007450580596923828,0.0007450580596923828,0.001
HTN,lookahead,0.05,28,5,True,18,2,0.0018322467803955078,0.0009161233901977539,0.0023
HTN,lookahead,0.05,29,5,True,17,1,0.0012619495391845703,0.0012619495391845703,0.002
HTN,lookahead,0.1,0,5,True,15,1,0.0011467933654785156,0.0011467933654785156,0.0016
HTN,lookahead,0.1,1,5,True,14,3,0.001314401626586914,0.00043813387552897137,0.0016
HTN,lookahead,0.1,2,5,True,12,3,0.0023980140686035156,0.0007993380228678385,0.0029
HTN,lookahead,0.1,3,5,True,14,3,0.0020618438720703125,0.0006872812906901041,0.0025
HTN,lookahead,0.1,4,5,True,14,2,0.001359701156616211,0.0006798505783081055,0.0018
HTN,lookahead,0.1,5,5,True,11,2,0.0009963512420654297,0.0004981756210327148,0.0013
HTN,lookahead,0.1,6,5,True,11,2,0.0009641647338867188,0.0004820823669433594,0.0012
HTN,lookahead,0.1,7,5,True,16,6,0.002291440963745117,0.00038190682729085285,0.0026
HTN,lookahead,0.1,8,5,True,16,2,0.001669168472290039,0.0008345842361450195,0.002
HTN,lookahead,0.1,9,5,True,18,4,0.0026934146881103516,0.0006733536720275879,0.003
HTN,lookahead,0.1,10,5,False,0,2,0.00019621849060058594,9.810924530029297e-05,0.0002
HTN,lookahead,0.1,11,5,True,19,4,0.0019600391387939453,0.0004900097846984863,0.0024
HTN,lookahead,0.1,12,5,True,17,2,0.001550436019897461,0.0007752180099487305,0.0019
HTN,lookahead,0.1,13,5,True,15,1,0.0009531974792480469,0.0009531974792480469,0.0012
HTN,lookahead,0.1,14,5,True,16,1,0.0008771419525146484,0.0008771419525146484,0.0013
HTN,lookahead,0.1,15,5,True,17,3,0.0023505687713623047,0.0007835229237874349,0.0027
HTN,lookahead,0.1,16,5,True,16,2,0.001377105712890625,0.0006885528564453125,0.0018
HTN,lookahead,0.1,17,5,True,12,2,0.0010192394256591797,0.0005096197128295898,0.0013
HTN,lookahead,0.1,18,5,True,13,1,0.0009350776672363281,0.0009350776672363281,0.0012
HTN,lookahead,0.1,19,5,True,8,1,0.0006239414215087891,0.0006239414215087891,0.0008
